algorithm,data_size,iterations,key_size,avg_cpu,avg_time,avg_ram
BlowfishEncryption,2mb_text_data_faker,2,448,13.65,0.03732705116271973,0.0
BlowfishEncryption,50mb_text_data_faker,2,448,17.200000000000003,0.8575094938278198,0.3500000000000014
BlowfishEncryption,5mb_text_data_faker,2,448,14.850000000000001,0.08881676197052002,0.05000000000000426
RSAEncryption,100bytes_text_data_faker,2,2048,48.05,0.9181464910507202,0.19999999999999574
RSAEncryption,150bytes_text_data_faker,2,2048,31.8,1.118634819984436,0.0
RSAEncryption,200bytes_text_data_faker,2,2048,26.2,1.0763996839523315,-0.14999999999999858
RSAEncryption,50bytes_text_data_faker,2,2048,26.450000000000003,1.5158222913742065,0.05000000000000426
RSAEncryption,100bytes_text_data_faker,2,3072,39.65,6.128556847572327,-0.30000000000000426
RSAEncryption,150bytes_text_data_faker,2,3072,26.7,3.638820767402649,0.0
RSAEncryption,200bytes_text_data_faker,2,3072,57.0,8.514847874641418,0.9500000000000028
RSAEncryption,50bytes_text_data_faker,2,3072,18.35,8.337830305099487,-0.14999999999999858
RSAEncryption,100bytes_text_data_faker,2,4096,8.750000000000002,31.75893235206604,0.14999999999999858
RSAEncryption,150bytes_text_data_faker,2,4096,17.450000000000003,13.902430534362793,-0.45000000000000284
RSAEncryption,200bytes_text_data_faker,2,4096,45.35,12.446512818336487,-0.04999999999999716
RSAEncryption,50bytes_text_data_faker,2,4096,10.100000000000001,7.357201099395752,-0.10000000000000142
DSAEncryption,100bytes_text_data_faker,2,,20.150000000000002,6.964664697647095,0.04999999999999716
DSAEncryption,150bytes_text_data_faker,2,,27.9,3.3199493885040283,0.0
DSAEncryption,200bytes_text_data_faker,2,,26.1,2.8892405033111572,-0.04999999999999716
DSAEncryption,50bytes_text_data_faker,2,,27.75,10.078608989715576,0.0
DHEncryption,100bytes_text_data_faker,2,,2.6999999999999957,39.3375563621521,-0.5499999999999972
DHEncryption,150bytes_text_data_faker,2,,-5.850000000000003,13.20519244670868,0.04999999999999716
DHEncryption,200bytes_text_data_faker,2,,31.35,11.201789140701294,0.25
DHEncryption,50bytes_text_data_faker,2,,36.550000000000004,15.530439853668213,1.8500000000000014
ECCEncryption,100bytes_text_data_faker,2,,-50.0,0.00761723518371582,0.0
ECCEncryption,150bytes_text_data_faker,2,,-37.5,0.0044972896575927734,0.0
ECCEncryption,200bytes_text_data_faker,2,,-37.5,0.004000663757324219,0.0
ECCEncryption,50bytes_text_data_faker,2,,-37.5,0.004335522651672363,0.0
SHA1Hash,10mb_text_data_faker,2,,12.5,0.004501461982727051,0.0
SHA1Hash,1mb_text_data_faker,2,,-50.0,0.002074122428894043,0.0
SHA1Hash,20mb_text_data_faker,2,,-62.5,0.003537416458129883,0.0
SHA1Hash,2mb_text_data_faker,2,,-25.0,0.003506183624267578,0.0
SHA1Hash,50mb_text_data_faker,2,,-58.35,0.00280153751373291,0.0
SHA1Hash,5mb_text_data_faker,2,,-37.5,0.0036468505859375,0.0
SHA2Hash,10mb_text_data_faker,2,,0.0,0.003110527992248535,0.0
SHA2Hash,1mb_text_data_faker,2,,25.0,0.0030003786087036133,0.0
SHA2Hash,20mb_text_data_faker,2,,-62.5,0.0034995079040527344,0.0
SHA2Hash,2mb_text_data_faker,2,,37.5,0.00364077091217041,0.0
SHA2Hash,50mb_text_data_faker,2,,8.350000000000001,0.0034972429275512695,0.0
SHA2Hash,5mb_text_data_faker,2,,-12.5,0.004002571105957031,0.0
MD5Hash,10mb_text_data_faker,2,,-37.5,0.002996683120727539,0.0
MD5Hash,1mb_text_data_faker,2,,-25.0,0.004228353500366211,0.0
MD5Hash,20mb_text_data_faker,2,,-6.25,0.003997802734375,0.0
MD5Hash,2mb_text_data_faker,2,,-25.0,0.0036197900772094727,0.0
MD5Hash,50mb_text_data_faker,2,,12.5,0.0032345056533813477,0.0
MD5Hash,5mb_text_data_faker,2,,-75.0,0.0038526058197021484,0.0
HMACHash,10mb_text_data_faker,2,,-100.0,0.004185318946838379,0.0
HMACHash,1mb_text_data_faker,2,,50.0,0.004998564720153809,0.0
HMACHash,20mb_text_data_faker,2,,-12.5,0.003997445106506348,0.0
HMACHash,2mb_text_data_faker,2,,37.5,0.004101395606994629,0.0
HMACHash,50mb_text_data_faker,2,,0.0,0.00410008430480957,0.0
HMACHash,5mb_text_data_faker,2,,-75.0,0.0035017728805541992,0.0
