algorithm,file_name,time_taken,rate
SHA3-384,1mb_text_data_faker.txt,0.0056078433990478516,178.32166999702395
SHA3-512,1mb_text_data_faker.txt,0.008120536804199219,123.14456840869055
SHAKE128,1mb_text_data_faker.txt,0.0034923553466796875,286.3397050791917
SHAKE256,1mb_text_data_faker.txt,0.0042912960052490234,233.02983499083282
SHA-1,30mb_text_data_faker.txt,0.10402154922485352,288.40178043447366
SHA-224,30mb_text_data_faker.txt,0.18806767463684082,159.5170464989801
SHA-256,30mb_text_data_faker.txt,0.19188809394836426,156.34112248815597
SHA-384,30mb_text_data_faker.txt,0.13077425956726074,229.40294289772055
SHA-512,30mb_text_data_faker.txt,0.13235259056091309,226.66726712986397
MD5,30mb_text_data_faker.txt,0.06738090515136719,445.22999405553827
HMAC,30mb_text_data_faker.txt,0.18367314338684082,163.33362323317942
